animal,measurement,feed_type,side,measurement_type
NA,43.1,pargyline,NA,sucrose_consumption
NA,49.1,pargyline,NA,sucrose_consumption
NA,55.4,pargyline,NA,sucrose_consumption
NA,66.9,pargyline,NA,sucrose_consumption
NA,40.7,pargyline,NA,sucrose_consumption
NA,29,pargyline,NA,sucrose_consumption
NA,53.1,pargyline,NA,sucrose_consumption
NA,35.6,pargyline,NA,sucrose_consumption
NA,43.8,pargyline,NA,sucrose_consumption
NA,34.3,pargyline,NA,sucrose_consumption
NA,52.1,pargyline,NA,sucrose_consumption
NA,51.1,pargyline,NA,sucrose_consumption
NA,45.2,pargyline,NA,sucrose_consumption
NA,20.4,pargyline,NA,sucrose_consumption
NA,49.7,pargyline,NA,sucrose_consumption
NA,61.9,pargyline,NA,sucrose_consumption
NA,58.3,pargyline,NA,sucrose_consumption
NA,46.6,pargyline,NA,sucrose_consumption
NA,35.8,pargyline,NA,sucrose_consumption
NA,36.4,pargyline,NA,sucrose_consumption
NA,64.3,pargyline,NA,sucrose_consumption
NA,35.3,pargyline,NA,sucrose_consumption
NA,40.8,pargyline,NA,sucrose_consumption
NA,56.5,pargyline,NA,sucrose_consumption
NA,21.3,pargyline,NA,sucrose_consumption
NA,48.4,pargyline,NA,sucrose_consumption
NA,39.5,pargyline,NA,sucrose_consumption
NA,47,pargyline,NA,sucrose_consumption
NA,40.6,pargyline,NA,sucrose_consumption
NA,47.2,pargyline,NA,sucrose_consumption
NA,56.3,pargyline,NA,sucrose_consumption
NA,37,pargyline,NA,sucrose_consumption
NA,74.9,pargyline,NA,sucrose_consumption
NA,55.4,pargyline,NA,sucrose_consumption
NA,48,pargyline,NA,sucrose_consumption
NA,43.1,pargyline,NA,sucrose_consumption
NA,61.7,pargyline,NA,sucrose_consumption
NA,62.4,pargyline,NA,sucrose_consumption
NA,60.1,pargyline,NA,sucrose_consumption
NA,37.6,pargyline,NA,sucrose_consumption
NA,43.8,pargyline,NA,sucrose_consumption
NA,62.1,pargyline,NA,sucrose_consumption
NA,45.5,pargyline,NA,sucrose_consumption
NA,40.7,pargyline,NA,sucrose_consumption
NA,51.4,pargyline,NA,sucrose_consumption
NA,46.7,pargyline,NA,sucrose_consumption
NA,29.8,pargyline,NA,sucrose_consumption
NA,44.3,pargyline,NA,sucrose_consumption
NA,60.1,pargyline,NA,sucrose_consumption
NA,43.1,pargyline,NA,sucrose_consumption
NA,35.6,pargyline,NA,sucrose_consumption
NA,50.9,pargyline,NA,sucrose_consumption
NA,53,pargyline,NA,sucrose_consumption
NA,36.6,pargyline,NA,sucrose_consumption
NA,61.5,pargyline,NA,sucrose_consumption
NA,46.4,pargyline,NA,sucrose_consumption
NA,64.9,pargyline,NA,sucrose_consumption
NA,40.5,pargyline,NA,sucrose_consumption
NA,60.1,pargyline,NA,sucrose_consumption
NA,40.8,pargyline,NA,sucrose_consumption
NA,35.3,pargyline,NA,sucrose_consumption
NA,4.9,pargyline,NA,sucrose_consumption
NA,44.6,pargyline,NA,sucrose_consumption
NA,55.9,pargyline,NA,sucrose_consumption
NA,48.1,pargyline,NA,sucrose_consumption
NA,34.1,pargyline,NA,sucrose_consumption
NA,37.6,pargyline,NA,sucrose_consumption
NA,58.5,pargyline,NA,sucrose_consumption
NA,40.7,pargyline,NA,sucrose_consumption
NA,31.3,pargyline,NA,sucrose_consumption
NA,32.9,pargyline,NA,sucrose_consumption
NA,54.8,pargyline,NA,sucrose_consumption
NA,55.5,pargyline,NA,sucrose_consumption
NA,67.1,pargyline,NA,sucrose_consumption
NA,36.2,pargyline,NA,sucrose_consumption
NA,52.1,pargyline,NA,sucrose_consumption
NA,29.2,pargyline,NA,sucrose_consumption
NA,56.8,pargyline,NA,sucrose_consumption
NA,33.8,pargyline,NA,sucrose_consumption
NA,36.7,pargyline,NA,sucrose_consumption
NA,50.6,pargyline,NA,sucrose_consumption
NA,46.2,pargyline,NA,sucrose_consumption
NA,28.7,pargyline,NA,sucrose_consumption
NA,55.5,pargyline,NA,sucrose_consumption
NA,54.5,pargyline,NA,sucrose_consumption
NA,48.6,pargyline,NA,sucrose_consumption
NA,32.4,pargyline,NA,sucrose_consumption
NA,63.3,pargyline,NA,sucrose_consumption
NA,35.9,pargyline,NA,sucrose_consumption
NA,25.5,pargyline,NA,sucrose_consumption
NA,51,pargyline,NA,sucrose_consumption
NA,59.1,pargyline,NA,sucrose_consumption
NA,44.9,pargyline,NA,sucrose_consumption
NA,36.3,pargyline,NA,sucrose_consumption
